customer_id,contact_date,credit_on_default,annual_balance,housing_loan,personal_loan
1,2024-05-05,no,2343,yes,no
2,2024-05-05,no,45,no,no
3,2024-05-05,no,1270,yes,no
4,2024-05-05,no,2476,yes,no
5,2024-05-05,no,184,no,no
6,2024-05-05,no,0,yes,yes
7,2024-05-06,no,830,yes,yes
8,2024-05-06,no,545,yes,no
9,2024-05-06,no,1,yes,no
10,2024-05-06,no,5090,yes,no
11,2024-05-07,no,100,yes,no
12,2024-05-07,no,309,yes,no
13,2024-05-07,no,199,yes,yes
14,2024-05-07,no,460,yes,no
15,2024-05-08,no,703,yes,no
16,2024-05-08,no,3837,yes,no
17,2024-05-08,no,611,yes,no
18,2024-05-08,no,-8,yes,no
19,2024-05-08,no,55,yes,no
20,2024-05-08,no,168,yes,yes
21,2024-05-08,no,785,yes,no
22,2024-05-08,no,2067,yes,no
23,2024-05-08,no,388,yes,no
24,2024-05-08,no,-192,yes,no
25,2024-05-08,no,381,yes,no
26,2024-05-09,no,40,yes,no
27,2024-05-09,no,22,yes,no
28,2024-05-09,no,3,yes,no
29,2024-05-09,no,307,yes,no
30,2024-05-09,no,759,yes,no
31,2024-05-09,yes,-1,yes,no
32,2024-05-09,no,65,yes,no
33,2024-05-09,no,82,yes,no
34,2024-05-09,no,10,yes,no
35,2024-05-09,no,390,yes,no
36,2024-05-12,no,311,no,no
37,2024-05-13,no,414,no,no
38,2024-05-13,no,5,yes,no
39,2024-05-13,no,119,yes,no
40,2024-05-13,no,4,yes,no
41,2024-05-13,no,1262,yes,yes
42,2024-05-13,no,1949,yes,no
43,2024-05-13,no,-395,yes,no
44,2024-05-13,no,1165,yes,no
45,2024-05-13,no,2240,yes,no
46,2024-05-13,no,300,yes,no
47,2024-05-13,no,3285,yes,no
48,2024-05-14,no,3923,yes,no
49,2024-05-14,no,1443,yes,no
50,2024-05-14,no,24,yes,no
51,2024-05-14,no,1618,yes,no
52,2024-05-14,no,517,yes,yes
53,2024-05-14,no,1521,yes,yes
