customer_id,contact_date,age,job,marital,education,age_group
1,2024-05-05,59,Admin,married,secondary,Middle Aged
2,2024-05-05,56,Admin,married,secondary,Middle Aged
3,2024-05-05,41,Technician,married,secondary,Middle Aged
4,2024-05-05,55,Services,married,secondary,Middle Aged
5,2024-05-05,54,Admin,married,tertiary,Middle Aged
6,2024-05-05,42,Management,single,tertiary,Middle Aged
7,2024-05-06,56,Management,married,tertiary,Middle Aged
8,2024-05-06,60,Retired,divorced,secondary,Elderly
9,2024-05-06,37,Technician,married,secondary,Young Adult
10,2024-05-06,28,Services,single,secondary,Young Adult
11,2024-05-07,38,Admin,single,secondary,Young Adult
12,2024-05-07,30,Blue-Collar,married,secondary,Young Adult
13,2024-05-07,29,Management,married,tertiary,Young Adult
14,2024-05-07,46,Blue-Collar,single,tertiary,Middle Aged
15,2024-05-08,31,Technician,single,tertiary,Young Adult
16,2024-05-08,35,Management,divorced,tertiary,Young Adult
17,2024-05-08,32,Blue-Collar,single,primary,Young Adult
18,2024-05-08,49,Services,married,secondary,Middle Aged
19,2024-05-08,41,Admin,married,secondary,Middle Aged
20,2024-05-08,49,Admin,divorced,secondary,Middle Aged
21,2024-05-08,28,Admin,divorced,secondary,Young Adult
22,2024-05-08,43,Management,single,tertiary,Middle Aged
23,2024-05-08,43,Management,divorced,tertiary,Middle Aged
24,2024-05-08,43,Blue-Collar,married,primary,Middle Aged
25,2024-05-08,37,Unemployed,single,secondary,Young Adult
26,2024-05-09,35,Blue-Collar,single,secondary,Young Adult
27,2024-05-09,31,Technician,single,tertiary,Young Adult
28,2024-05-09,43,Blue-Collar,single,secondary,Middle Aged
29,2024-05-09,31,Admin,married,secondary,Young Adult
30,2024-05-09,28,Blue-Collar,single,secondary,Young Adult
31,2024-05-09,32,Blue-Collar,married,secondary,Young Adult
32,2024-05-09,60,Technician,married,primary,Elderly
33,2024-05-09,26,Blue-Collar,single,secondary,Young Adult
34,2024-05-09,40,Blue-Collar,married,secondary,Middle Aged
35,2024-05-09,33,Blue-Collar,divorced,primary,Young Adult
36,2024-05-12,32,Management,single,tertiary,Young Adult
37,2024-05-13,35,Blue-Collar,married,primary,Young Adult
38,2024-05-13,33,Management,divorced,secondary,Young Adult
39,2024-05-13,38,Management,married,tertiary,Young Adult
40,2024-05-13,23,Entrepreneur,single,primary,Young Adult
41,2024-05-13,60,Blue-Collar,married,primary,Elderly
42,2024-05-13,48,Management,married,tertiary,Middle Aged
43,2024-05-13,45,Entrepreneur,divorced,tertiary,Middle Aged
44,2024-05-13,36,Blue-Collar,married,secondary,Young Adult
45,2024-05-13,52,Management,married,unknown,Middle Aged
46,2024-05-13,35,Blue-Collar,divorced,primary,Young Adult
47,2024-05-13,43,Technician,married,secondary,Middle Aged
48,2024-05-14,52,Housemaid,married,secondary,Middle Aged
49,2024-05-14,53,Technician,divorced,primary,Middle Aged
50,2024-05-14,48,Blue-Collar,divorced,primary,Middle Aged
51,2024-05-14,41,Blue-Collar,single,primary,Middle Aged
52,2024-05-14,39,Management,divorced,tertiary,Young Adult
53,2024-05-14,59,Retired,married,secondary,Middle Aged
54,2024-05-14,41,Blue-Collar,married,secondary,Middle Aged
55,2024-05-14,48,Blue-Collar,married,secondary,Middle Aged
56,2024-05-14,40,Admin,married,secondary,Middle Aged
57,2024-05-14,48,Blue-Collar,married,secondary,Middle Aged
58,2024-05-14,60,Retired,married,primary,Elderly
59,2024-05-14,40,Technician,single,unknown,Middle Aged
60,2024-05-14,57,Technician,married,tertiary,Middle Aged
61,2024-05-14,51,Blue-Collar,married,secondary,Middle Aged
62,2024-05-14,41,Blue-Collar,divorced,secondary,Middle Aged
63,2024-05-15,41,Blue-Collar,married,secondary,Middle Aged
64,2024-05-15,52,Blue-Collar,divorced,primary,Middle Aged
65,2024-05-15,59,Blue-Collar,married,primary,Middle Aged
66,2024-05-15,44,Blue-Collar,married,unknown,Middle Aged
67,2024-05-15,49,Unknown,married,primary,Middle Aged
68,2024-05-15,40,Services,married,primary,Middle Aged
69,2024-05-15,41,Admin,married,primary,Middle Aged
70,2024-05-15,44,Technician,married,tertiary,Middle Aged
71,2024-05-15,60,Services,single,primary,Elderly
72,2024-05-15,29,Management,married,tertiary,Young Adult
73,2024-05-15,41,Retired,divorced,primary,Middle Aged
74,2024-05-15,41,Blue-Collar,married,primary,Middle Aged
75,2024-05-15,42,Technician,single,secondary,Middle Aged
76,2024-05-16,36,Services,single,unknown,Young Adult
77,2024-05-16,39,Technician,married,tertiary,Young Adult
78,2024-05-16,31,Self-Employed,single,tertiary,Young Adult
79,2024-05-16,26,Blue-Collar,married,secondary,Young Adult
80,2024-05-16,31,Blue-Collar,married,secondary,Young Adult
81,2024-05-16,29,Admin,single,secondary,Young Adult
82,2024-05-16,37,Services,divorced,secondary,Young Adult
83,2024-05-16,33,Blue-Collar,single,secondary,Young Adult
84,2024-05-16,24,Technician,single,secondary,Young Adult
85,2024-05-16,50,Admin,divorced,secondary,Middle Aged
86,2024-05-16,27,Technician,single,tertiary,Young Adult
87,2024-05-16,54,Management,single,tertiary,Middle Aged
88,2024-05-16,30,Technician,single,secondary,Young Adult
89,2024-05-16,34,Blue-Collar,married,primary,Young Adult
90,2024-05-16,37,Management,single,secondary,Young Adult
91,2024-05-19,41,Admin,single,secondary,Middle Aged
92,2024-05-19,47,Blue-Collar,married,secondary,Middle Aged
93,2024-05-19,31,Admin,married,secondary,Young Adult
94,2024-05-19,31,Blue-Collar,married,secondary,Young Adult
95,2024-05-19,43,Services,divorced,secondary,Middle Aged
96,2024-05-19,37,Management,divorced,tertiary,Young Adult
97,2024-05-19,30,Technician,single,tertiary,Young Adult
98,2024-05-19,41,Technician,married,secondary,Middle Aged
99,2024-05-20,36,Blue-Collar,married,secondary,Young Adult
100,2024-05-20,35,Blue-Collar,divorced,secondary,Young Adult
101,2024-05-20,29,Services,single,secondary,Young Adult
102,2024-05-20,35,Blue-Collar,married,primary,Young Adult
103,2024-05-20,31,Blue-Collar,married,secondary,Young Adult
104,2024-05-20,35,Services,married,secondary,Young Adult
105,2024-05-20,34,Technician,single,secondary,Young Adult
106,2024-05-20,31,Admin,single,secondary,Young Adult
107,2024-05-20,44,Technician,divorced,secondary,Middle Aged
108,2024-05-20,36,Blue-Collar,married,primary,Young Adult
109,2024-05-20,35,Blue-Collar,married,unknown,Young Adult
110,2024-05-20,41,Blue-Collar,married,primary,Middle Aged
111,2024-05-21,31,Blue-Collar,single,primary,Young Adult
112,2024-05-21,34,Blue-Collar,married,secondary,Young Adult
113,2024-05-21,32,Technician,married,secondary,Young Adult
114,2024-05-21,36,Management,married,tertiary,Young Adult
115,2024-05-21,30,Blue-Collar,single,secondary,Young Adult
116,2024-05-21,37,Technician,single,secondary,Young Adult
117,2024-05-21,36,Blue-Collar,married,primary,Young Adult
118,2024-05-21,31,Management,single,tertiary,Young Adult
119,2024-05-21,27,Technician,married,secondary,Young Adult
120,2024-05-21,34,Retired,married,primary,Young Adult
121,2024-05-21,30,Technician,single,tertiary,Young Adult
122,2024-05-21,32,Technician,single,tertiary,Young Adult
123,2024-05-21,37,Technician,single,secondary,Young Adult
124,2024-05-21,32,Blue-Collar,married,secondary,Young Adult
125,2024-05-21,33,Blue-Collar,married,secondary,Young Adult
126,2024-05-23,35,Blue-Collar,married,primary,Young Adult
127,2024-05-23,35,Self-Employed,divorced,tertiary,Young Adult
128,2024-05-23,30,Blue-Collar,single,secondary,Young Adult
129,2024-05-23,45,Blue-Collar,divorced,primary,Middle Aged
130,2024-05-23,45,Admin,married,secondary,Middle Aged
131,2024-05-23,33,Blue-Collar,married,secondary,Young Adult
132,2024-05-23,44,Management,divorced,tertiary,Middle Aged
