customer_id,contact_date,contact_type,contact_duration,campaign_contacts,days_last_contacted,previous_contacts,poutcome,sale,deposit
1,2024-05-05,unknown,1042,1,1,0,unknown,1,1
2,2024-05-05,unknown,1467,1,1,0,unknown,1,1
3,2024-05-05,unknown,1389,1,1,0,unknown,1,1
4,2024-05-05,unknown,579,1,1,0,unknown,1,1
5,2024-05-05,unknown,673,2,1,0,unknown,1,1
6,2024-05-05,unknown,562,2,1,0,unknown,1,1
7,2024-05-06,unknown,1201,1,1,0,unknown,1,1
8,2024-05-06,unknown,1030,1,1,0,unknown,1,1
9,2024-05-06,unknown,608,1,1,0,unknown,1,1
10,2024-05-06,unknown,1297,3,1,0,unknown,1,1
11,2024-05-07,unknown,786,1,1,0,unknown,1,1
12,2024-05-07,unknown,1574,2,1,0,unknown,1,1
13,2024-05-07,unknown,1689,4,1,0,unknown,1,1
14,2024-05-07,unknown,1102,2,1,0,unknown,1,1
15,2024-05-08,unknown,943,2,1,0,unknown,1,1
16,2024-05-08,unknown,1084,1,1,0,unknown,1,1
17,2024-05-08,unknown,541,3,1,0,unknown,1,1
18,2024-05-08,unknown,1119,1,1,0,unknown,1,1
19,2024-05-08,unknown,1120,2,1,0,unknown,1,1
20,2024-05-08,unknown,513,1,1,0,unknown,1,1
21,2024-05-08,unknown,442,2,1,0,unknown,1,1
22,2024-05-08,unknown,756,1,1,0,unknown,1,1
23,2024-05-08,unknown,2087,2,1,0,unknown,1,1
24,2024-05-08,unknown,1120,2,1,0,unknown,1,1
25,2024-05-08,unknown,985,2,1,0,unknown,1,1
26,2024-05-09,unknown,617,4,1,0,unknown,1,1
27,2024-05-09,unknown,483,3,1,0,unknown,1,1
28,2024-05-09,unknown,929,3,1,0,unknown,1,1
29,2024-05-09,unknown,538,1,1,0,unknown,1,1
30,2024-05-09,unknown,710,1,1,0,unknown,1,1
31,2024-05-09,unknown,653,1,1,0,unknown,1,1
32,2024-05-09,unknown,1028,2,1,0,unknown,1,1
33,2024-05-09,unknown,654,1,1,0,unknown,1,1
34,2024-05-09,unknown,1692,2,1,0,unknown,1,1
35,2024-05-09,unknown,665,2,1,0,unknown,1,1
36,2024-05-12,unknown,757,2,1,0,unknown,1,1
37,2024-05-13,unknown,504,4,1,0,unknown,1,1
38,2024-05-13,unknown,1346,1,1,0,unknown,1,1
39,2024-05-13,unknown,568,4,1,0,unknown,1,1
40,2024-05-13,unknown,395,2,1,0,unknown,1,1
41,2024-05-13,unknown,1015,1,1,0,unknown,1,1
42,2024-05-13,unknown,683,2,1,0,unknown,1,1
43,2024-05-13,unknown,470,1,1,0,unknown,1,1
44,2024-05-13,unknown,1001,4,1,0,unknown,1,1
45,2024-05-13,unknown,845,1,1,0,unknown,1,1
46,2024-05-13,unknown,945,2,1,0,unknown,1,1
47,2024-05-13,unknown,1721,2,1,0,unknown,1,1
48,2024-05-14,unknown,942,3,1,0,unknown,1,1
49,2024-05-14,unknown,476,1,1,0,unknown,1,1
50,2024-05-14,unknown,832,1,1,0,unknown,1,1
51,2024-05-14,unknown,1553,1,1,0,unknown,1,1
52,2024-05-14,unknown,1328,1,1,0,unknown,1,1
53,2024-05-14,unknown,1125,2,1,0,unknown,1,1
54,2024-05-14,unknown,858,1,1,0,unknown,1,1
55,2024-05-14,unknown,629,2,1,0,unknown,1,1
56,2024-05-14,unknown,704,1,1,0,unknown,1,1
57,2024-05-14,unknown,760,1,1,0,unknown,1,1
58,2024-05-14,unknown,930,1,1,0,unknown,1,1
59,2024-05-14,unknown,1028,2,1,0,unknown,1,1
60,2024-05-14,unknown,850,2,1,0,unknown,1,1
61,2024-05-14,unknown,927,1,1,0,unknown,1,1
62,2024-05-14,unknown,1423,3,1,0,unknown,1,1
63,2024-05-15,unknown,1162,4,1,0,unknown,1,1
64,2024-05-15,unknown,755,1,1,0,unknown,1,1
65,2024-05-15,unknown,695,1,1,0,unknown,1,1
66,2024-05-15,unknown,483,1,1,0,unknown,1,1
67,2024-05-15,unknown,520,2,1,0,unknown,1,1
68,2024-05-15,unknown,920,2,1,0,unknown,1,1
69,2024-05-15,unknown,500,1,1,0,unknown,1,1
70,2024-05-15,unknown,911,2,1,0,unknown,1,1
71,2024-05-15,unknown,920,2,1,0,unknown,1,1
72,2024-05-15,unknown,1224,2,1,0,unknown,1,1
73,2024-05-15,unknown,1156,2,1,0,unknown,1,1
74,2024-05-15,unknown,1052,1,1,0,unknown,1,1
75,2024-05-15,unknown,1867,6,1,0,unknown,1,1
76,2024-05-16,unknown,515,1,1,0,unknown,1,1
77,2024-05-16,unknown,813,1,1,0,unknown,1,1
78,2024-05-16,unknown,676,1,1,0,unknown,1,1
79,2024-05-16,unknown,1143,3,1,0,unknown,1,1
80,2024-05-16,unknown,688,1,1,0,unknown,1,1
81,2024-05-16,unknown,803,1,1,0,unknown,1,1
82,2024-05-16,unknown,619,2,1,0,unknown,1,1
83,2024-05-16,unknown,767,2,1,0,unknown,1,1
84,2024-05-16,unknown,912,1,1,0,unknown,1,1
85,2024-05-16,unknown,1340,1,1,0,unknown,1,1
86,2024-05-16,unknown,897,1,1,0,unknown,1,1
87,2024-05-16,unknown,1297,3,1,0,unknown,1,1
88,2024-05-16,unknown,1193,5,1,0,unknown,1,1
89,2024-05-16,unknown,1064,4,1,0,unknown,1,1
90,2024-05-16,unknown,1187,4,1,0,unknown,1,1
91,2024-05-19,unknown,882,1,1,0,unknown,1,1
92,2024-05-19,unknown,943,2,1,0,unknown,1,1
93,2024-05-19,unknown,607,1,1,0,unknown,1,1
94,2024-05-19,unknown,1022,4,1,0,unknown,1,1
95,2024-05-19,unknown,552,3,1,0,unknown,1,1
96,2024-05-19,unknown,1622,2,1,0,unknown,1,1
97,2024-05-19,unknown,967,6,1,0,unknown,1,1
98,2024-05-19,unknown,579,5,1,0,unknown,1,1
99,2024-05-20,unknown,446,1,1,0,unknown,1,1
100,2024-05-20,unknown,1205,1,1,0,unknown,1,1
101,2024-05-20,unknown,1882,2,1,0,unknown,1,1
102,2024-05-20,unknown,1334,1,1,0,unknown,1,1
103,2024-05-20,unknown,182,2,1,0,unknown,1,1
104,2024-05-20,unknown,1777,1,1,0,unknown,1,1
105,2024-05-20,unknown,1182,4,1,0,unknown,1,1
106,2024-05-20,unknown,1045,1,1,0,unknown,1,1
107,2024-05-20,unknown,650,3,1,0,unknown,1,1
108,2024-05-20,unknown,1063,2,1,0,unknown,1,1
109,2024-05-20,unknown,843,2,1,0,unknown,1,1
110,2024-05-20,unknown,1392,2,1,0,unknown,1,1
111,2024-05-21,unknown,565,1,1,0,unknown,1,1
112,2024-05-21,unknown,905,1,1,0,unknown,1,1
113,2024-05-21,unknown,783,2,1,0,unknown,1,1
114,2024-05-21,unknown,958,2,1,0,unknown,1,1
115,2024-05-21,unknown,412,1,1,0,unknown,1,1
116,2024-05-21,unknown,795,1,1,0,unknown,1,1
117,2024-05-21,unknown,649,2,1,0,unknown,1,1
118,2024-05-21,unknown,506,2,1,0,unknown,1,1
119,2024-05-21,unknown,857,1,1,0,unknown,1,1
120,2024-05-21,unknown,1681,1,1,0,unknown,1,1
121,2024-05-21,unknown,1697,2,1,0,unknown,1,1
122,2024-05-21,unknown,860,2,1,0,unknown,1,1
123,2024-05-21,unknown,799,1,1,0,unknown,1,1
124,2024-05-21,unknown,923,3,1,0,unknown,1,1
125,2024-05-21,unknown,521,3,1,0,unknown,1,1
126,2024-05-23,unknown,1349,8,1,0,unknown,1,1
127,2024-05-23,unknown,736,2,1,0,unknown,1,1
128,2024-05-23,unknown,785,1,1,0,unknown,1,1
129,2024-05-23,unknown,1030,1,1,0,unknown,1,1
130,2024-05-23,unknown,893,3,1,0,unknown,1,1
131,2024-05-23,unknown,588,3,1,0,unknown,1,1
132,2024-05-23,unknown,597,6,1,0,unknown,1,1
