age,job,marital,education,credit_on_default,annual_balance,housing_loan,personal_loan,contact_type,contact_day,contact_month,contact_duration,campaign_contacts,days_last_contacted,previous_contacts,poutcome,age_group,customer_id,sale,deposit
59,Admin,married,secondary,no,2343,yes,no,unknown,5,May,1042,1,-1,0,unknown,Middle Aged,1,1,yes
56,Admin,married,secondary,no,45,no,no,unknown,5,May,1467,1,-1,0,unknown,Middle Aged,2,1,yes
41,Technician,married,secondary,no,1270,yes,no,unknown,5,May,1389,1,-1,0,unknown,Middle Aged,3,1,yes
55,Services,married,secondary,no,2476,yes,no,unknown,5,May,579,1,-1,0,unknown,Middle Aged,4,1,yes
54,Admin,married,tertiary,no,184,no,no,unknown,5,May,673,2,-1,0,unknown,Middle Aged,5,1,yes
42,Management,single,tertiary,no,0,yes,yes,unknown,5,May,562,2,-1,0,unknown,Middle Aged,6,1,yes
56,Management,married,tertiary,no,830,yes,yes,unknown,6,May,1201,1,-1,0,unknown,Middle Aged,7,1,yes
60,Retired,divorced,secondary,no,545,yes,no,unknown,6,May,1030,1,-1,0,unknown,Elderly,8,1,yes
37,Technician,married,secondary,no,1,yes,no,unknown,6,May,608,1,-1,0,unknown,Young Adult,9,1,yes
28,Services,single,secondary,no,5090,yes,no,unknown,6,May,1297,3,-1,0,unknown,Young Adult,10,1,yes
38,Admin,single,secondary,no,100,yes,no,unknown,7,May,786,1,-1,0,unknown,Young Adult,11,1,yes
30,Blue-Collar,married,secondary,no,309,yes,no,unknown,7,May,1574,2,-1,0,unknown,Young Adult,12,1,yes
29,Management,married,tertiary,no,199,yes,yes,unknown,7,May,1689,4,-1,0,unknown,Young Adult,13,1,yes
46,Blue-Collar,single,tertiary,no,460,yes,no,unknown,7,May,1102,2,-1,0,unknown,Middle Aged,14,1,yes
31,Technician,single,tertiary,no,703,yes,no,unknown,8,May,943,2,-1,0,unknown,Young Adult,15,1,yes
35,Management,divorced,tertiary,no,3837,yes,no,unknown,8,May,1084,1,-1,0,unknown,Young Adult,16,1,yes
32,Blue-Collar,single,primary,no,611,yes,no,unknown,8,May,541,3,-1,0,unknown,Young Adult,17,1,yes
49,Services,married,secondary,no,-8,yes,no,unknown,8,May,1119,1,-1,0,unknown,Middle Aged,18,1,yes
41,Admin,married,secondary,no,55,yes,no,unknown,8,May,1120,2,-1,0,unknown,Middle Aged,19,1,yes
49,Admin,divorced,secondary,no,168,yes,yes,unknown,8,May,513,1,-1,0,unknown,Middle Aged,20,1,yes
28,Admin,divorced,secondary,no,785,yes,no,unknown,8,May,442,2,-1,0,unknown,Young Adult,21,1,yes
43,Management,single,tertiary,no,2067,yes,no,unknown,8,May,756,1,-1,0,unknown,Middle Aged,22,1,yes
43,Management,divorced,tertiary,no,388,yes,no,unknown,8,May,2087,2,-1,0,unknown,Middle Aged,23,1,yes
43,Blue-Collar,married,primary,no,-192,yes,no,unknown,8,May,1120,2,-1,0,unknown,Middle Aged,24,1,yes
37,Unemployed,single,secondary,no,381,yes,no,unknown,8,May,985,2,-1,0,unknown,Young Adult,25,1,yes
